feature,label,count,mean,median,std
c_dt_mean,0,116363,0.008120226954162568,0.0078190909090909,0.0016949207179880789
c_dt_mean,1,5475,0.00827803145546827,0.0081673469387755,0.0016341194503500427
c_mean_mean,0,116363,110.76191065590268,113.91428571428573,12.539068687012378
c_mean_mean,1,5475,114.86429102777441,118.1,9.865094323318143
c_sd_mean,0,116363,5.161424599983567,4.626129032258064,2.208171369224733
c_sd_mean,1,5475,5.0751402885890915,5.0126506024096384,1.5854135000167886
m1_dt_mean,0,116363,0.008093576888808674,0.0077451470588235,0.0017824387477347505
m1_dt_mean,1,5475,0.00840514229592444,0.0081237931034482,0.0018499257017133485
m1_mean_mean,0,116363,110.54166142843596,109.6594684385382,11.375477457012616
m1_mean_mean,1,5475,116.05478060141806,117.20689655172414,7.551772860537669
m1_sd_mean,0,116363,4.327786769313065,3.824,1.9402800938698228
m1_sd_mean,1,5475,4.646909637446111,4.17421052631579,1.8225961560310642
p1_dt_mean,0,116363,0.007045980245273926,0.0068101639344262,0.0012945031347319216
p1_dt_mean,1,5475,0.007283434697461169,0.007078,0.0013012890147700166
p1_mean_mean,0,116363,86.17379228909508,86.41784037558685,4.936159659949462
p1_mean_mean,1,5475,86.83027775602638,87.96466666666667,4.9209348147165635
p1_sd_mean,0,116363,2.9726969041392723,2.8086956521739133,0.8994458352339505
p1_sd_mean,1,5475,3.0028364924624995,2.9147407407407404,0.773821771476566
